,metrics,query_idx
Random,"defaultdict(<class 'list'>, {'r2': [], 'score': []})","[10686, 13490, 10238, 11143, 5382, 10891, 14071, 14458, 4379, 6465, 12817, 6214, 3753, 6929, 1258, 6628, 12197, 10959, 6855, 106, 14284, 7603, 3550, 8766, 1551, 5660, 13035, 358, 6076, 11544, 5891, 154, 4293, 9247, 13424, 2512, 566, 7074, 2962, 4550, 1077, 12510, 2470, 6630, 11220, 11932, 13567, 5943, 10688, 9323, 7784, 2725, 8166, 8362]"
GP Regressor:regression std,"defaultdict(<class 'list'>, {'r2': [], 'score': []})","[0, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 12, 14, 6, 5, 78, 77, 59, 58, 57, 56, 2, 1]"
